gene	p	fdr
FNDC3A	0.0497597777718328	0.149522167663571
ALKBH2	1	1
CD33	1	1
TMBIM6	1	1
DHX57	0.0175328667763995	0.0894372492656712
MMP28	1	1
ARHGAP20	1	1
TLE1	1	1
TCF4	1	1
SZT2	1	1
ITGA3	1	1
PTPRN2	1	1
ZNF319	1	1
UTP4	0.00196418266090996	0.0178994065066795
PDK1	0.0136630971333726	0.0776000189018445
RAB1B	0.000279068972726165	0.00436528155011858
ATP7A	5.401631644802e-05	0.00128881836119642
GPATCH8	2.48203808575653e-07	2.01487287133971e-05
DCST2	1	1
NEDD1	0.000428363472110431	0.00587440198403868
USP25	0.0109717848367828	0.0673517865360964
SFI1	1	1
APOF	1	1
AES	0.0150133195454949	0.0824506759642751
DYSF	2.81877782745165e-05	0.000788420530945633
TNNT1	1	1
SDHAF4	1	1
TMTC4	1	1
MLF2	1	1
MMRN1	0.00219108258377186	0.0195138975383213
PPP1R2	1	1
RGPD4	7.04443457768452e-12	2.31401484673939e-09
RSRC2	1	1
CADM2	1	1
MAGI1	1	1
LRRC49	0.00629194435573541	0.0451483425007185
PCDHGC5	1	1
KCNJ13	0.00619129075918116	0.0446183581497112
USH1C	0.0232463486093836	0.104771753065585
ITIH3	0.0238271733494277	0.106049947407224
LRRC10	1	1
ZNF335	1	1
REPIN1	0.0301831494797831	0.11902371488999
LRRC16A	1	1
JPH2	9.79846542032399e-07	5.88950315157772e-05
ARHGAP12	1	1
PAK6	1	1
TPM3	1	1
ABCA3	1	1
TBC1D22A	1	1
ACMSD	1	1
DPYSL3	0.038304277916158	0.133768439700403
ZC3H7B	1	1
LRTM1	1	1
SEC62	0.0423616735967334	0.140426810503135
SBF2	0.0039647823810862	0.0315863232559743
AKAP2	0.000150678875859639	0.00284157426103792
FGB	0.0367700804965195	0.130917443447202
NOP9	1	1
ANKRD16	1	1
PJA2	0.00177955249198411	0.0166024960034845
BCL6	1	1
TCTN2	1	1
SCYL1	1	1
MCM3AP	0.0406987323389059	0.137759308480001
LRRC8E	1	1
ADAM32	1	1
TKTL1	1	1
TRIM21	1	1
CEP85L	1	1
NAT9	1	1
AKAP9	0.0335996418381192	0.125620683156017
DMAP1	0.0143270151360889	0.079798536591978
